#Category,"#FileName","English","Traditional","Simplified"
"LibraryHeading","No file","Prayers","禱文","祷文"
"LibraryText","prayers","Bahá’í Prayers","巴哈伊禱文","巴哈伊祷文"
"LibraryHeading","No file","Bahá’u’lláh","巴哈歐拉","巴哈欧拉"
"LibraryText","No file","Epistle to the Son of the Wolf","致狼子書","致狼子书"
"LibraryText","No file","Gems of Divine Mysteries","聖秘瑰寶","圣秘瑰宝"
"LibraryText","No file","Gleanings from the Writings of Bahá’u’lláh","巴哈歐拉聖作選粹","巴哈欧拉圣作选粹"
"LibraryText","hiddenwords","The Hidden Words","隱言經","隐言经"
"LibraryText","No file","The Kitáb-i-Aqdas","亞格達斯經","亚格达斯经"
"LibraryText","No file","The Kitáb-i-Íqán","篤信經 / 伊甘經","笃信经 / 伊甘经"
"LibraryText","No file","Prayers and Meditations by Bahá’u’lláh","巴哈歐拉祈禱默思錄","巴哈欧拉祈祷默思录"
"LibraryText","No file","The Seven Valleys and the Four Valleys","七谷經與四谷經","七谷经与四谷经"
"LibraryText","No file","The Summons of the Lord of Hosts","萬軍之主的詔諭","万军之主的诏谕"
"LibraryText","No file","The Tabernacle of Unity","大同聖帳","大同圣帐"
"LibraryText","No file","Tablets of Bahá’u’lláh","巴哈歐拉書簡集","巴哈欧拉书简集"
"LibraryHeading","No file","The Báb","巴孛","巴孛"
"LibraryText","No file","Selections from the Writings of the Báb","巴孛文選","巴孛文选"
"LibraryHeading","No file","‘Abdu’l-Bahá","阿博都巴哈","阿博都巴哈"
"LibraryText","No file","Memorials of the Faithful","忠信群英傳","忠信群英传"
"LibraryText","No file","Paris Talks","巴黎談話","巴黎谈话"
"LibraryText","No file","The Promulgation of Universal Peace","弘揚世界和平","弘扬世界和平"
"LibraryText","No file","The Secret of Divine Civilization","神聖文明的隱秘","神圣文明的隐秘"
"LibraryText","No file","Selections from the Writings of ‘Abdu’l-Bahá","阿博都-巴哈文選","阿博都-巴哈文选"
"LibraryText","No file","Some Answered Questions","已答之問","已答之问"
"LibraryText","No file","Tablet to Dr. Auguste Forel","福雷爾書簡","福雷尔书简"
"LibraryText","No file","Tablets of the Divine Plan","神聖計劃書簡集","神圣计划书简集"
"LibraryText","No file","A Traveler’s Narrative","旅者見聞錄","旅者见闻录"
"LibraryText","No file","Will and Testament of ‘Abdu’l-Bahá","阿博都-巴哈遺囑","阿博都-巴哈遗嘱"
"LibraryHeading","No file","Shoghi Effendi","守基·阿芬第","守基·阿芬第"
"LibraryText","No file","The Advent of Divine Justice","神聖正義的降臨","神圣正义的降临"
"LibraryText","No file","Bahá’í Administration","巴哈伊教務管理","巴哈伊教务管理"
"LibraryText","No file","Citadel of Faith","信仰堡壘","信仰堡垒"
"LibraryText","No file","God Passes By","神臨記","神临记"
"LibraryText","No file","The Promised Day Is Come","應許之日來臨","应许之日来临"
"LibraryText","No file","This Decisive Hour","#####","#####"
"LibraryText","No file","The World Order of Bahá’u’lláh","巴哈歐拉的世界秩序","巴哈欧拉的世界秩序"
"LibraryHeading","No file","The Universal House of Justice","世界正義院","世界正义院"
"LibraryText","No file","Letter to the World’s Religious Leaders","致世界各宗教領袖函","致世界各宗教领袖函"
"LibraryText","No file","The Promise of World Peace","#####","#####"
