1,"BookTitle","The Hidden Words ","隐言经","隱言經"
2,"BookAuthor","Bahá’u’lláh","巴哈欧拉","巴哈歐拉"
6,"SectionText","Part One: From the Arabic","上卷（原着为阿拉伯文，本文译自英文版）","上卷（原著為阿拉伯文，本文譯自英文版）"
7,"Invocation","He Is the Glory of Glories.","祂是荣耀中的最荣耀者","祂是榮耀中的最榮耀者。"
8,"ExLogue","This is that which hath descended from the realm of glory, uttered by the tongue of power and might, and revealed unto the Prophets of old. We have taken the inner essence thereof and clothed it in the garment of brevity, as a token of grace unto the righteous, that they may stand faithful unto the Covenant of God, may fulfill in their lives His trust, and in the realm of spirit obtain the gem of divine virtue.","本经自那荣耀之境降世，由那权能之舌宣说，曾启示给以往的先知。我们取其内在精华，赋予简洁形式，当作天恩标志，赐予正直之士。使他们信守上帝圣约，毕生努力履行祂的嘱托，在精神世界获取圣德之宝石。","本經自那榮耀之境降世，由那權能之舌宣說，曾啟示給以往的先知。我們取其內在精華，賦予簡潔形式，當作天恩標志，賜予正直之士。使他們信守上帝聖約，畢生努力履行祂的囑托，在精神世界獲取聖德之寶石。"
9,"PassageNumber",1,1,1
10,"Invocation","O Son of Spirit! ","灵性之子啊！","靈性之子啊！"
11,"MainText","My first counsel is this: Possess a pure, kindly and radiant heart, that thine may be a sovereignty ancient, imperishable and everlasting. ","我首要的训言是这样的，你要有纯洁仁慈而光明的心，这样，才能成为亘古不变的，不灭的，永恒的。 ","我首要的訓言是這樣的，你要有純潔仁慈而光明的心，這樣，才能成為亙古不變的，不滅的，永恒的。 "
12,"PassageNumber",2,2,2
13,"Invocation","O Son of Spirit! ","灵性之子啊！","靈性之子啊！"
14,"MainText","The best beloved of all things in My sight is Justice; turn not away therefrom if thou desirest Me, and neglect it not that I may confide in thee. By its aid thou shalt see with thine own eyes and not through the eyes of others, and shalt know of thine own knowledge and not through the knowledge of thy neighbor. Ponder this in thy heart; how it behooveth thee to be. Verily justice is My gift to thee and the sign of My loving-kindness. Set it then before thine eyes. ","在我眼里，万象中最可爱的是公义；如你有求於我，就别远离它；不要忽视它，我才能信赖你。靠它的帮助，你才能用你自己的眼睛来观察，用不着别人的眼。你才能靠自己的见识来求知，用不着邻人的智识。把这个在你心里细想，你该怎麽做。诚然，公义乃是我赐予你的天赋，是我仁爱慈惠的表徵。你要把它放在眼前。 ","在我眼裡，萬象中最可愛的是公義；如你有求於我，就別遠離它；不要忽視它，我才能信賴你。靠它的幫助，你才能用你自己的眼睛來觀察，用不著別人的眼。你才能靠自己的見識來求知，用不著鄰人的智識。把這個在你心裡細想，你該怎麼做。誠然，公義乃是我賜予你的天賦，是我仁愛慈惠的表徵。你要把它放在眼前。 "
15,"PassageNumber",3,3,3
16,"Invocation","O Son of Man! ","人子啊！","人子啊！"
17,"MainText","Veiled in My immemorial being and in the ancient eternity of My essence, I knew My love for thee; therefore I created thee, have engraved on thee Mine image and revealed to thee My beauty. ","隐蔽於我远古的存在里，於我亘古永存的本质里，我知道我对你的爱，所以我创造了你，我把我自己的形象镌印於你，把我的善美启示於你。","隱蔽於我遠古的存在裡，於我亙古永存的本質裡，我知道我對你的愛，所以我創造了你，我把我自己的形象鐫印於你，把我的善美啟示於你。"
18,"PassageNumber",4,4,4
19,"Invocation","O Son of Man! ","人子啊！","人子啊！"
20,"MainText","I loved thy creation, hence I created thee. Wherefore, do thou love Me, that I may name thy name and fill thy soul with the spirit of life. ","我爱你的创生，因此我创造你，你该爱我，使我能赐名予你，把生命的精神充实你的灵魂。 ","我愛你的創生，因此我創造你，你該愛我，使我能賜名予你，把生命的精神充實你的靈魂。 "
21,"PassageNumber",5,5,5
22,"Invocation","O Son of Being! ","人子啊！","人子啊！"
23,"MainText","Love Me, that I may love thee. If thou lovest Me not, My love can in no wise reach thee. Know this, O servant. ","爱我，使我能爱你，如果你不爱我，我的爱便无法达到你，懂得吧，我的仆人。 ","愛我，使我能愛你，如果你不愛我，我的愛便無法達到你，懂得吧，我的僕人。 "
24,"PassageNumber",6,6,6
25,"Invocation","O Son of Being! ","生命之子啊！","生命之子啊！"
26,"MainText","Thy Paradise is My love; thy heavenly home, reunion with Me. Enter therein and tarry not. This is that which hath been destined for thee in Our kingdom above and Our exalted dominion. ","你的乐园是我的爱；你天国之居所是与我复合。进来吧，别再迟疑。这就是在我们天上的王国，与崇高的领域里，所注定给你的。 ","你的樂園是我的愛；你天國之居所是與我復合。進來吧，別再遲疑。這就是在我們天上的王國，與崇高的領域裡，所註定給你的。 "
27,"PassageNumber",7,7,7
28,"Invocation","O Son of Man! ","人子啊！","人子啊！"
29,"MainText","If thou lovest Me, turn away from thyself; and if thou seekest My pleasure, regard not thine own; that thou mayest die in Me and I may eternally live in thee. ","如果你爱我，就离开你自己吧；如果你想寻求喜悦，就别再顾虑你自己的；如此你便能在我里面灭了，而我却永远活在你里面。 ","如果你愛我，就離開你自己吧；如果你想尋求喜悅，就別再顧慮你自己的；如此你便能在我裡面滅了，而我卻永遠活在你裡面。 "
30,"PassageNumber",8,8,8
31,"Invocation","O Son of Spirit! ","灵性之子啊！","靈性之子啊！"
32,"MainText","There is no peace for thee save by renouncing thyself and turning unto Me; for it behooveth thee to glory in My name, not in thine own; to put thy trust in Me and not in thyself, since I desire to be loved alone and above all that is. ","除非你能舍弃自己而转向我，否则你是没有平安的；因为你该以我的名光耀，而不是以你自己的名；信靠我，别靠你自己，因为我要你只爱我，要你超於一切的爱我。 ","除非你能捨棄自己而轉向我，否則你是沒有平安的；因為你該以我的名光耀，而不是以你自己的名；信靠我，別靠你自己，因為我要你只愛我，要你超於一切的愛我。 "
33,"PassageNumber",9,9,9
34,"Invocation","O Son of Being! ","生命之子啊！","生命之子啊！"
35,"MainText","My love is My stronghold; he that entereth therein is safe and secure, and he that turneth away shall surely stray and perish. ","我的爱是我的堡垒；凡进来的，就得安全和庇护，凡离去的，则定迷失和腐朽。 ","我的愛是我的堡壘；凡進來的，就得安全和庇護，凡離去的，則定迷失和腐朽。 "
36,"PassageNumber",10,10,10
37,"Invocation","O Son of Utterance! ","宣说之子啊！","宣說之子啊！"
38,"MainText","Thou art My stronghold; enter therein that thou mayest abide in safety. My love is in thee, know it, that thou mayest find Me near unto thee. ","你是我的堡垒；进去吧，使你能住在安全里。因为我的爱就在你里面，你懂得这个，便会知道我是紧靠着你的。 ","你是我的堡壘；進去吧，使你能住在安全裡。因為我的愛就在你裡面，你懂得這個，便會知道我是緊靠著你的。 "
39,"PassageNumber",11,11,11
40,"Invocation","O Son of Being! ","生命之子啊！","生命之子啊！"
41,"MainText","Thou art My lamp and My light is in thee. Get thou from it thy radiance and seek none other than Me. For I have created thee rich and have bountifully shed My favor upon thee. ","你是我的灯，而我的光就在你里面。从它求取你的光辉吧！除我之外，别再他求。因为我以富足造生了你，并把我的恩宠丰厚地赐给了你。","你是我的燈，而我的光就在你裡面。從它求取你的光輝吧！除我之外，別再他求。因為我以富足造生了你，並把我的恩寵豐厚地賜給了你。"
42,"PassageNumber",12,12,12
43,"Invocation","O Son of Being! ","生命之子啊！","生命之子啊！"
44,"MainText","With the hands of power I made thee and with the fingers of strength I created thee; and within thee have I placed the essence of My light. Be thou content with it and seek naught else, for My work is perfect and My command is binding. Question it not, nor have a doubt thereof. ","我以威权之手造生你，并以力量之指创造你；以我光明的精髓充实你。你要满足与此，别再求其他，因为我的工作是完美的，我的命令是必行的。不需追问，不要怀疑。 ","我以威權之手造生你，並以力量之指創造你；以我光明的精髓充實你。你要滿足與此，別再求其他，因為我的工作是完美的，我的命令是必行的。不需追問，不要懷疑。 "
45,"PassageNumber",13,13,13
46,"Invocation","O Son of Spirit! ","灵性之子啊！","靈性之子啊！"
