1,"BookTitle","Bahá’í Prayers","巴哈伊祈禱文","巴哈伊祈祷文"
2,"BookAuthor","(Bahá’u’lláh, The Báb, ‘Abdu’l-Bahá)","（巴哈歐拉、巴孛、阿博都巴哈）","（巴哈欧拉、巴孛、阿博都巴哈）"
4,"PassageNumber",1,1,1
5,"MainText","Blessed is the spot, and the house, and the place, and the city, and the heart, and the mountain, and the refuge, and the cave, and the valley, and the land, and the sea, and the island, and the meadow where mention of God hath been made, and His praise glorified.","祝福在此地，在屋宇，在地方，在城市，在心田，在山嶺，在避難所，在洞穴，在山谷，在陸地，在海洋，在島嶼，在草原，在凡歌頌上帝，榮耀祂聖名之處。","天佑此处，此宅，此地，此城，此心，此山，此庇荫，此洞穴，此山谷，此大地，此海洋，此岛屿，此草原—凡颂扬上帝之处，光耀其圣名之地。"
6,"PassageAuthor","(Bahá’u’lláh)","（巴哈歐拉）","（巴哈欧拉）"
7,"PassageNumber",2,2,2
8,"MainText","Intone, O My servant, the verses of God that have been received by thee, as intoned by them who have drawn nigh unto Him, that the sweetness of thy melody may kindle thine own soul, and attract the hearts of all men. Whoso reciteth, in the privacy of his chamber, the verses revealed by God, the scattering angels of the Almighty shall scatter abroad the fragrance of the words uttered by his mouth, and shall cause the heart of every righteous man to throb. Though he may, at first, remain unaware of its effect, yet the virtue of the grace vouchsafed unto him must needs sooner or later exercise its influence upon his soul. Thus have the mysteries of the Revelation of God been decreed by virtue of the Will of Him Who is the Source of power and wisdom.","我的僕人啊！吟誦你所承自上帝的詩篇，就像親近祂的人一般地吟誦。你甜美的聲韻將點燃你的靈魂，並吸引兆民的心靈。凡獨自在其室內背誦上帝所啟示之詩篇的人，全能上帝的眾天使必將其口中所誦話語之芬芳傳播於各地，並使每顆正直的人心為之悸動。初時，祈禱者或許不能察覺其效能，然而惠賜予他的恩寵與美德，終會影響其靈魂。這就是由威權和智慧之源的上帝其意旨所命定啟示的奧秘。","我的仆人啊！ 像亲近上帝者那样， 吟诵你收到的经文吧！ 这样，你那悦耳的吟诵， 便能激发自己的灵性， 吸引所有人的心灵。 凡独处室内， 诵读上帝启示之经文者， 其吐露话语之芳香， 定被全能者的众天使扩散四方， 使每位正直者的心灵激荡。 起初他或许察觉不到这种效验， 但赐予他的慈悲恩惠， 迟早会将其灵魂感染。 上帝是智慧、力量的源泉， 通过祂的圣意， 祂如此命定了天启的奥秘。"
9,"PassageAuthor","(Bahá’u’lláh)","（巴哈歐拉）","（巴哈欧拉）"
53,"SectionText","Short obligatory prayer","短篇必誦禱文","短篇必诵祷文"
54,"PassageNumber",3,3,3
55,"ExLogue","(TO BE RECITED ONCE IN TWENTY-FOUR HOURS, AT NOON)","（每日中午吟誦一次）","（每日中午吟诵一次）"
56,"MainText","I bear witness, O my God, that Thou hast created me to know Thee and to worship Thee.","我自行見證，說：我的上帝啊！","我的上帝啊！我见证：祢将我造生，是让我认知祢，崇奉祢。"
57,"MainText","I testify, at this moment, to my powerlessness and to Thy might, to my poverty and to Thy wealth.","祢造生了我，來認識祢並崇拜祢。我在這時刻表明我的無能和祢的萬能，我的貧窮和祢的富裕。","此时此刻，我向祢表明我的无能和祢的万能，我的贫穷和祢的富裕。"
58,"MainText","There is none other God but Thee, the Help in Peril, the Self-Subsisting.","除祢之外別無上帝，祢是艱苦中的救難者，自有永有者。","除祢之外别无上帝，祢是救苦救难者，自在自存者。"
59,"PassageAuthor","(Bahá’u’lláh)","（巴哈歐拉）","（巴哈欧拉）"
60,"SectionText","Medium obligatory prayer","中篇必誦禱文","中篇必诵祷文"
61,"PassageNumber",4,4,4
